fecha,TmaxC,TminC,Lluvia
1994-04-01,NA,NA,NA
1994-04-02,NA,NA,NA
1994-04-03,NA,NA,NA
1994-04-04,NA,NA,NA
1994-04-05,NA,NA,NA
1994-04-06,NA,NA,NA
1994-04-07,NA,NA,NA
1994-04-08,NA,NA,NA
1994-04-09,NA,NA,NA
1994-04-10,NA,NA,NA
1994-04-11,NA,NA,NA
1994-04-12,NA,NA,NA
1994-04-13,NA,NA,NA
1994-04-14,NA,NA,NA
1994-04-15,NA,NA,NA
1994-04-16,NA,NA,NA
1994-04-17,NA,NA,NA
1994-04-18,NA,NA,NA
1994-04-19,NA,NA,NA
1994-04-20,NA,NA,NA
1994-04-21,NA,NA,NA
1994-04-22,NA,NA,NA
1994-04-23,NA,NA,NA
1994-04-24,NA,NA,0
1994-04-25,NA,NA,0
1994-04-26,NA,NA,0
1994-04-27,NA,NA,NA
1994-04-28,NA,NA,NA
1994-04-29,NA,NA,NA
1994-04-30,NA,NA,66
1994-05-01,NA,NA,0
1994-06-01,NA,NA,1.7
1994-06-02,NA,NA,24.3
1994-06-03,NA,NA,0
1994-06-04,NA,NA,11.6
1994-06-05,NA,NA,36.8
1994-06-06,NA,NA,0.8
1994-06-07,NA,NA,0
1994-06-08,NA,NA,0
1994-06-09,NA,NA,8.5
1994-06-10,NA,NA,0
1994-06-11,NA,NA,0
1994-06-12,NA,NA,0
1994-06-13,NA,NA,8.4
1994-06-14,NA,NA,0
1994-06-15,NA,NA,0
1994-06-16,NA,NA,3.6
1994-06-17,NA,NA,0.2
1994-06-18,NA,NA,0
1994-06-19,NA,NA,0
1994-06-20,NA,NA,0
1994-06-21,NA,NA,0
1994-06-22,NA,NA,5.1
1994-06-23,NA,NA,0
1994-06-24,NA,NA,0
1994-06-25,NA,NA,0
1994-06-26,NA,NA,0
1994-06-27,NA,NA,0
1994-06-28,NA,NA,0.4
1994-06-29,NA,NA,0
1994-06-30,NA,NA,0
1994-07-01,NA,NA,0
1994-07-01,NA,NA,0
1994-07-02,NA,NA,0.7
1994-07-03,NA,NA,16.6
1994-07-04,NA,NA,0
1994-07-05,NA,NA,0.1
1994-07-06,NA,NA,0.4
1994-07-07,NA,NA,0
1994-07-08,NA,NA,0
1994-07-09,NA,NA,0
1994-07-10,NA,NA,0
1994-07-11,NA,NA,0
1994-07-12,NA,NA,0
1994-07-13,NA,NA,0.4
1994-07-14,NA,NA,1.1
1994-07-15,NA,NA,0.1
1994-07-16,NA,NA,8.1
1994-07-17,NA,NA,2.8
1994-07-18,NA,NA,0
1994-07-19,NA,NA,0
1994-07-20,NA,NA,0
1994-07-21,NA,NA,0
1994-07-22,NA,NA,0
1994-07-23,NA,NA,0
1994-07-24,NA,NA,0
1994-07-25,NA,NA,0
1994-07-26,NA,NA,0
1994-07-27,NA,NA,0
1994-07-28,NA,NA,0
1994-07-29,NA,NA,1.4
1994-07-30,NA,NA,0
1994-07-31,NA,NA,0
1994-08-01,NA,NA,5.5
1994-08-01,NA,NA,5.5
1994-08-02,NA,NA,0
1994-08-03,NA,NA,1.6
1994-08-04,NA,NA,0
1994-08-05,NA,NA,0.6
1994-08-06,NA,NA,0
1994-08-07,NA,NA,0
1994-08-08,NA,NA,11.2
1994-08-09,NA,NA,10.6
1994-08-10,NA,NA,0
1994-08-11,NA,NA,0.7
1994-08-12,NA,NA,0
1994-08-13,NA,NA,0.2
1994-08-14,NA,NA,2
1994-08-15,NA,NA,NA
1994-08-16,NA,NA,NA
1994-08-17,NA,NA,NA
1994-08-18,NA,NA,NA
1994-08-19,NA,NA,NA
1994-08-20,NA,NA,NA
1994-08-21,NA,NA,NA
1994-08-22,NA,NA,13.7
1994-08-23,NA,NA,5.6
1994-08-24,NA,NA,0
1994-08-25,NA,NA,0
1994-08-26,NA,NA,0
1994-08-27,NA,NA,0
1994-08-28,NA,NA,0
1994-08-29,NA,NA,15.7
1994-08-30,NA,NA,0.1
1994-08-31,NA,NA,0
1994-09-01,NA,NA,3.1
1994-11-01,NA,NA,0
1994-11-02,NA,NA,0.5
1994-11-03,NA,NA,26
1994-11-04,NA,NA,37
1994-11-05,NA,NA,1.3
1994-11-06,NA,NA,19.4
1994-11-07,NA,NA,0.7
1994-11-08,NA,NA,0
1994-11-09,NA,NA,55
1994-11-10,NA,NA,17.2
1994-11-11,NA,NA,0
1994-11-12,NA,NA,3.7
1994-11-13,NA,NA,2.5
1994-11-14,NA,NA,0
1994-11-15,NA,NA,0
1994-11-16,NA,NA,0
1994-11-17,NA,NA,0
1994-11-18,NA,NA,0
1994-11-19,NA,NA,0
1994-11-20,NA,NA,0.7
1994-11-21,NA,NA,0
1994-11-22,NA,NA,2.1
1994-11-23,NA,NA,0
1994-11-24,NA,NA,2
1994-11-25,NA,NA,0.2
1994-11-26,NA,NA,1.3
1994-11-27,NA,NA,2.9
1994-11-28,NA,NA,0
1994-11-29,NA,NA,1.2
1994-11-30,NA,NA,0
1994-12-01,NA,NA,0
1994-12-01,NA,NA,0
1994-12-02,NA,NA,0
1994-12-03,NA,NA,0
1994-12-04,NA,NA,0
1994-12-05,NA,NA,0
1994-12-06,NA,NA,0
1994-12-07,NA,NA,0.6
1994-12-08,NA,NA,8.1
1994-12-09,NA,NA,9.8
1994-12-10,NA,NA,1.1
1994-12-11,NA,NA,0
1994-12-12,NA,NA,0.1
1994-12-13,NA,NA,0
1994-12-14,NA,NA,0
1994-12-15,NA,NA,1.4
1994-12-16,NA,NA,0
1994-12-17,NA,NA,0
1994-12-18,NA,NA,0
1994-12-19,NA,NA,0
1994-12-20,NA,NA,0
1994-12-21,NA,NA,0
1994-12-22,NA,NA,0
1994-12-23,NA,NA,0
1994-12-24,NA,NA,0
1994-12-25,NA,NA,0
1994-12-26,NA,NA,0
1994-12-27,NA,NA,0
1994-12-28,NA,NA,0
1994-12-29,NA,NA,0
1994-12-30,NA,NA,0
1994-12-31,NA,NA,0
1995-01-01,NA,NA,0
1995-01-01,NA,NA,0
1995-01-02,NA,NA,0
1995-01-03,NA,NA,0
1995-01-04,NA,NA,0
1995-01-05,NA,NA,0
1995-01-06,NA,NA,0
1995-01-07,NA,NA,0
1995-01-08,NA,NA,0
1995-01-09,NA,NA,0
1995-01-10,NA,NA,0
1995-01-11,NA,NA,0
1995-01-12,NA,NA,0
1995-01-13,NA,NA,0
1995-01-14,NA,NA,0
1995-01-15,NA,NA,0
1995-01-16,NA,NA,0
1995-01-17,NA,NA,0
1995-01-18,NA,NA,0
1995-01-19,NA,NA,0
1995-01-20,NA,NA,0
1995-01-21,NA,NA,0
1995-01-22,NA,NA,0
1995-01-23,NA,NA,0
1995-01-24,NA,NA,0
1995-01-25,NA,NA,0
1995-01-26,NA,NA,0
1995-01-27,NA,NA,0
1995-01-28,NA,NA,0
1995-01-29,NA,NA,0
1995-01-30,NA,NA,0
1995-01-31,NA,NA,0
1995-02-01,NA,NA,0
1995-02-01,NA,NA,0
1995-02-02,NA,NA,0
1995-02-03,NA,NA,0
1995-02-04,NA,NA,0
1995-02-05,NA,NA,0
1995-02-06,NA,NA,0
1995-02-07,NA,NA,0
1995-02-08,NA,NA,0
1995-02-09,NA,NA,0
1995-02-10,NA,NA,0
1995-02-11,NA,NA,0
1995-02-12,NA,NA,0
1995-02-13,NA,NA,0
1995-02-14,NA,NA,0
1995-02-15,NA,NA,0
1995-02-16,NA,NA,0
1995-02-17,NA,NA,0
1995-02-18,NA,NA,0
1995-02-19,NA,NA,0
1995-02-20,NA,NA,0
1995-02-21,NA,NA,0
1995-02-22,NA,NA,0
1995-02-23,NA,NA,0
1995-02-24,NA,NA,0
1995-02-25,NA,NA,0
1995-02-26,NA,NA,0
1995-02-27,NA,NA,0
1995-02-28,NA,NA,0
1995-03-01,NA,NA,0
1995-03-02,NA,NA,0
1995-03-03,NA,NA,0
1995-03-04,NA,NA,0
1995-03-05,NA,NA,0
1995-03-06,NA,NA,0
1995-03-07,NA,NA,0
1995-03-08,NA,NA,0
1995-03-09,NA,NA,0
1995-03-10,NA,NA,0
1995-03-11,NA,NA,0
1995-03-12,NA,NA,0
1995-03-13,NA,NA,0
1995-03-14,NA,NA,0
1995-03-15,NA,NA,0
1995-03-16,NA,NA,0
1995-03-17,NA,NA,0
1995-03-18,NA,NA,0
1995-03-19,NA,NA,0
